fiscal_year,district,local_admin_org,waste_amount,unit
2565,กำแพงแสน,อบต.วังน้ำเขียว,10.0,ตันต่อปี
2565,กำแพงแสน,อบต.สระพัฒนา,40.0,ตันต่อปี
2565,กำแพงแสน,อบต.สระสี่มุม,170.0,ตันต่อปี
2565,กำแพงแสน,อบต.หนองกระทุ่ม,40.0,ตันต่อปี
2565,กำแพงแสน,อบต.ห้วยขวาง,374.0,ตันต่อปี
2565,กำแพงแสน,อบต.ห้วยม่วง,37.0,ตันต่อปี
2565,กำแพงแสน,อบต.ห้วยหมอนทอง,1.0,ตันต่อปี
2565,นครชัยศรี,เทศบาลตำบลขุนแก้ว,37.5,ตันต่อปี
2565,นครชัยศรี,เทศบาลตำบลนครชัยศรี,16.0,ตันต่อปี
2565,นครชัยศรี,เทศบาลตำบลห้วยพลู,71.0,ตันต่อปี
2565,นครชัยศรี,ทต.ศีรษะทอง,50.0,ตันต่อปี
2565,นครชัยศรี,อบต.งิ้วราย,10.0,ตันต่อปี
2565,นครชัยศรี,อบต.ดอนแฝก,106.0,ตันต่อปี
2565,นครชัยศรี,อบต.ท่ากระชับ,45.0,ตันต่อปี
2565,นครชัยศรี,อบต.ท่าตำหนัก,7.0,ตันต่อปี
2565,นครชัยศรี,อบต.ท่าพระยา,12.0,ตันต่อปี
2565,นครชัยศรี,อบต.ไทยาวาส,10.0,ตันต่อปี
2565,นครชัยศรี,อบต.นครชัยศรี,40.0,ตันต่อปี
2565,นครชัยศรี,อบต.บางแก้ว,2.0,ตันต่อปี
2565,นครชัยศรี,อบต.บางแก้วฟ้า,20.0,ตันต่อปี
2565,นครชัยศรี,อบต.บางพระ,2.0,ตันต่อปี
2565,นครชัยศรี,อบต.บางระกำ,10.0,ตันต่อปี
2565,นครชัยศรี,อบต.พะเนียด,160.5,ตันต่อปี
2565,นครชัยศรี,อบต.ลานตากฟ้า,15.0,ตันต่อปี
2565,นครชัยศรี,อบต.วัดแค,18.0,ตันต่อปี
2565,นครชัยศรี,อบต.วัดละมุด,1.0,ตันต่อปี
2565,นครชัยศรี,อบต.วัดสำโรง,6.0,ตันต่อปี
2565,นครชัยศรี,อบต.ศรีมหาโพธิ์,17.0,ตันต่อปี
2565,นครชัยศรี,อบต.โคกพระเจดีย์,58.0,ตันต่อปี
2565,นครชัยศรี,อบต.สัมปทวน,0.0,ตันต่อปี
2565,นครชัยศรี,อบต.ห้วยพลู,2.0,ตันต่อปี
2565,นครชัยศรี,อบต.แหลมบัว,0.0,ตันต่อปี
2565,ดอนตูม,เทศบาลตำบลสามง่าม,0.0,ตันต่อปี
2565,ดอนตูม,อบต.ดอนพุทรา,30.0,ตันต่อปี
2565,ดอนตูม,อบต.ดอนรวก,477.0,ตันต่อปี
2565,ดอนตูม,อบต.บ้านหลวง,10.0,ตันต่อปี
2565,ดอนตูม,อบต.ลำเหย,10.0,ตันต่อปี
2565,ดอนตูม,อบต.ห้วยด้วน,10.0,ตันต่อปี
2565,ดอนตูม,อบต.ห้วยพระ,0.0,ตันต่อปี
2565,บางเลน,เทศบาลตำบลบางเลน,75.0,ตันต่อปี
2565,บางเลน,เทศบาลตำบลบางหลวง,3.0,ตันต่อปี
2565,บางเลน,เทศบาลตำบลรางกระทุ่ม,144.2,ตันต่อปี
2565,บางเลน,เทศบาลตำบลลำพญา,100.0,ตันต่อปี
2565,บางเลน,อบต.คลองนกกระทุง,6.5,ตันต่อปี
2565,บางเลน,อบต.ดอนตูม,6.0,ตันต่อปี
2565,บางเลน,อบต.ไทรงาม,3.2,ตันต่อปี
2565,บางเลน,อบต.นราภิรมย์,70.0,ตันต่อปี
2565,บางเลน,อบต.นิลเพชร,20.0,ตันต่อปี
2565,บางเลน,อบต.บัวปากท่า,0.1,ตันต่อปี
2565,บางเลน,อบต.บางไทรป่า,5.0,ตันต่อปี
2565,บางเลน,อบต.บางปลา,5.5,ตันต่อปี
2565,บางเลน,อบต.บางภาษี,30.0,ตันต่อปี
2565,บางเลน,อบต.บางระกำ,0.27,ตันต่อปี
2565,บางเลน,อบต.บางเลน,2.45,ตันต่อปี
2565,บางเลน,อบต.บางหลวง,10.9,ตันต่อปี
2565,บางเลน,อบต.ไผ่หูช้าง,10.0,ตันต่อปี
2565,บางเลน,อบต.ลำพญา,7.5,ตันต่อปี
2565,บางเลน,อบต.หินมูล,114.0,ตันต่อปี
2565,สามพราน,เทศบาลเมืองกระทุ่มล้ม,140.0,ตันต่อปี
2565,สามพราน,เทศบาลเมืองไร่ขิง,287.0,ตันต่อปี
2565,สามพราน,เทศบาลเมืองสามพราน,19.7,ตันต่อปี
2565,สามพราน,เทศบาลตำบลบางกระทึก,26.0,ตันต่อปี
2565,สามพราน,เทศบาลตำบลอ้อมใหญ่,192.0,ตันต่อปี
2565,สามพราน,อบต.คลองจินดา,0.0,ตันต่อปี
2565,สามพราน,อบต.คลองใหม่,32.0,ตันต่อปี
2565,สามพราน,อบต.ตลาดจินดา,86.0,ตันต่อปี
2565,สามพราน,อบต.ทรงคนอง,49.1,ตันต่อปี
2565,สามพราน,อบต.ท่าข้าม,4.0,ตันต่อปี
2565,สามพราน,อบต.ท่าตลาด,30.0,ตันต่อปี
2565,สามพราน,อบต.บางช้าง,21.0,ตันต่อปี
2565,สามพราน,อบต.บางเตย,100.0,ตันต่อปี
2565,สามพราน,อบต.บ้านใหม่,26.0,ตันต่อปี
2565,สามพราน,อบต.ยายชา,40.0,ตันต่อปี
2565,สามพราน,อบต.สามพราน,10.0,ตันต่อปี
2565,สามพราน,อบต.หอมเกร็ด,3.0,ตันต่อปี
2565,พุทธมณฑล,เทศบาลตำบลคลองโยง,306.0,ตันต่อปี
2565,พุทธมณฑล,เทศบาลตำบลศาลายา,20.0,ตันต่อปี
2565,พุทธมณฑล,อบต.มหาสวัสดิ์,150.0,ตันต่อปี
2565,พุทธมณฑล,อบต.ศาลายา,0.0,ตันต่อปี
2566,เมือง,เทศบาลนครนครปฐม,150.0,ตันต่อปี
2566,เมือง,เทศบาลเมืองนครปฐม,210.0,ตันต่อปี
2566,เมือง,เทศบาลตำบลดอนยายหอม,58.5,ตันต่อปี
2566,เมือง,เทศบาลตำบลธรรมศาลา,4.0,ตันต่อปี
2566,เมือง,เทศบาลตำบลบ่อพลับ,40.0,ตันต่อปี
2566,เมือง,เทศบาลตำบลโพรงมะเดื่อ,5.0,ตันต่อปี
2566,เมือง,เทศบาลตำบลมาบแค,0.0,ตันต่อปี
2566,เมือง,เทศบาลเมืองสามควายเผือก,63.7,ตันต่อปี
2566,เมือง,ทต.ตาก้อง,20.0,ตันต่อปี
2566,เมือง,อบต.ถนนขาด,40.9,ตันต่อปี
2566,เมือง,อบต.ทัพหลวง,0.0,ตันต่อปี
2566,เมือง,อบต.ทุ่งน้อย,10.0,ตันต่อปี
2566,เมือง,อบต.ธรรมศาลา,0.0,ตันต่อปี
2566,เมือง,อบต.บางแขม,7.0,ตันต่อปี
2566,เมือง,อบต.บ้านยาง,63.0,ตันต่อปี
2566,เมือง,อบต.พระประโทน,6.0,ตันต่อปี
2566,เมือง,อบต.โพรงมะเดื่อ,45.0,ตันต่อปี
2566,เมือง,อบต.ลำพยา,4.0,ตันต่อปี
2566,เมือง,อบต.วังตะกู,175.0,ตันต่อปี
2566,เมือง,อบต.วังเย็น,5.0,ตันต่อปี
2566,เมือง,อบต.สนามจันทร์,7.8,ตันต่อปี
2566,เมือง,อบต.สระกระเทียม,12.0,ตันต่อปี
2566,เมือง,อบต.สวนป่าน,60.0,ตันต่อปี
2566,เมือง,อบต.ดอนยายหอม,50.0,ตันต่อปี
2566,เมือง,อบต.หนองงูเหลือม,16.26,ตันต่อปี
2566,เมือง,อบต.หนองดินแดง,124.4,ตันต่อปี
2566,เมือง,อบต.หนองปากโลง,15.0,ตันต่อปี
2566,เมือง,อบต.ห้วยจรเข้,0.0,ตันต่อปี
2566,กำแพงแสน,เทศบาลตำบลกำแพงแสน,15.0,ตันต่อปี
2566,กำแพงแสน,อบต.กระตีบ,65.0,ตันต่อปี
2566,กำแพงแสน,อบต.กำแพงแสน,204.0,ตันต่อปี
2566,กำแพงแสน,อบต.ดอนข่อย,51.0,ตันต่อปี
2566,กำแพงแสน,อบต.ทุ่งกระพังโหม,306.0,ตันต่อปี
2566,กำแพงแสน,อบต.ทุ่งขวาง,4.0,ตันต่อปี
2566,กำแพงแสน,อบต.ทุ่งบัว,25.0,ตันต่อปี
2566,กำแพงแสน,อบต.ทุ่งลูกนก,266.0,ตันต่อปี
2566,กำแพงแสน,อบต.รางพิกุล,20.0,ตันต่อปี
2566,กำแพงแสน,อบต.วังน้ำเขียว,6.0,ตันต่อปี
2566,กำแพงแสน,อบต.สระพัฒนา,64.0,ตันต่อปี
2566,กำแพงแสน,อบต.สระสี่มุม,390.0,ตันต่อปี
2566,กำแพงแสน,อบต.หนองกระทุ่ม,32.0,ตันต่อปี
2566,กำแพงแสน,อบต.ห้วยขวาง,100.0,ตันต่อปี
2566,กำแพงแสน,อบต.ห้วยม่วง,135.0,ตันต่อปี
2566,กำแพงแสน,อบต.ห้วยหมอนทอง,7.0,ตันต่อปี
