fiscal_year,district,local_admin_org,waste_amount,unit
2564,บางเลน,องค์การบริหารส่วนตำบลบางภาษี,19.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลบางระกำ,12.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลบางเลน,1.45,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลบางหลวง,12.1,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลไผ่หูช้าง,14.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลลำพญา,16.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลหินมูล,43.0,ตันต่อปี
2564,สามพราน,เทศบาลเมืองกระทุ่มล้ม,492.0,ตันต่อปี
2564,สามพราน,เทศบาลเมืองไร่ขิง,283.7,ตันต่อปี
2564,สามพราน,เทศบาลเมืองสามพราน,297.0,ตันต่อปี
2564,สามพราน,เทศบาลตำบลบางกระทึก,31.0,ตันต่อปี
2564,สามพราน,เทศบาลตำบลอ้อมใหญ่,135.6,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลคลองจินดา,0.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลคลองใหม่,35.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลตลาดจินดา,152.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลทรงคนอง,93.4,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลท่าข้าม,20.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลท่าตลาด,130.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลบางช้าง,62.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลบางเตย,115.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลบ้านใหม่,5.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลยายชา,21.0,ตันต่อปี
2564,สามพราน,องค์การบริหารส่วนตำบลสามพราน,61.0,ตันต่อปี
